NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
NCT03986931,A Pharmacist Intervention for Monitoring and Treating Hypertension Using Bidirectional Texting,,Recruiting,No Results Available,Hypertension,Other: Experimental: Pharmacist-Bidirectional Texting Group|Other: Active Comparator: Control Group,Change in Systolic Blood Pressure- 12 Months|Change in Diastolic Blood Pressure- 12 Months|Number of Medication Changes in 12 Months|Dollars Spent per Patient for 12 Month Bidirectional Texting/Pharmacist Intervention,"Linnea Polgreen|National Heart, Lung, and Blood Institute (NHLBI)|University of Iowa",All,"21 Years to 100 Years   (Adult, Older Adult)",Not Applicable,420,Other|NIH,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Investigator)|Primary Purpose: Treatment,BP Texting and Pharmacist|R61HL144880,25-Feb-20,Dec-21,Jul-22,14-Jun-19,,12-Mar-20,"University of Iowa Hospitals and Clinics, Iowa City, Iowa, United States",,https://ClinicalTrials.gov/show/NCT03986931
NCT04263311,Scaling Community-Clinical Linage Models to Address Diabetes and Hypertension Disparities in the Southeast United States,,Recruiting,No Results Available,Hypertension,Behavioral: CHW,Change in BP control|Change in Hemoglobin A1c (HbA1c)|Change in systolic blood pressure (SBP)|Change in diastolic blood pressure (DBP)|Change in body mass index (BMI)|Physicians Attitudes Regarding the Integrated Intervention|Barriers and Facilitators to Implementation Adoption and Implications for Scalability,NYU Langone Health,All,"21 Years to 75 Years   (Adult, Older Adult)",Not Applicable,162,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,19-01192,6-Jul-20,Jun-21,Jun-21,10-Feb-20,,24-Aug-20,"NYU Langone, New York, New York, United States",,https://ClinicalTrials.gov/show/NCT04263311
NCT01996449,The Role of Aldosterone on Augmented Exercise Pressor Reflex in Hypertension,,Recruiting,No Results Available,Hypertension,Drug: Eplerenone|Drug: Amlodipine|Procedure: Microneurography|Procedure: Rhythmic handgrip exercise|Procedure: Sustained hand grip|Procedure: Forearm blood flow|Procedure: Arm cycling exercise|Procedure: Cold Pressor test,Muscle sympathetic nerve activity during exercise,University of Texas Southwestern Medical Center,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,3,Other,Interventional,Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic,R01HL113738,Jul-13,Dec-21,Dec-21,27-Nov-13,,11-Mar-20,"UT Southwestern Medical Center, Dallas, Texas, United States",,https://ClinicalTrials.gov/show/NCT01996449
NCT02922023,Management of Uncontrolled Hypertension (HTN),,Recruiting,No Results Available,Hypertension,Device: Ambulatory blood pressure monitor (ABPM)|Other: Chronotherapy,Changes in blood pressure|Amount of subjects from each group that achieved blood pressure goal,University of Florida,All,"18 Years to 100 Years   (Adult, Older Adult)",Not Applicable,25,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,IRB201601421,Jan-17,Aug-21,Aug-21,3-Oct-16,,19-Aug-20,"University of Florida, Gainesville, Florida, United States",,https://ClinicalTrials.gov/show/NCT02922023
NCT02245230,Cardiovascular Effects of Angiotensin (1-7) in Essential Hypertension,,Recruiting,No Results Available,"Hypertension|Hypertension, Essential",Drug: Angiotensin (1-7)|Drug: Trimethaphan|Drug: Phenylephrine,Systolic Blood Pressure|Hemodynamic Measures|Circulating Renin-Angiotensin System Components,Vanderbilt University|Vanderbilt University Medical Center,All,18 Years to 60 Years   (Adult),Phase 1,34,Other,Interventional,Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Other,140958,Jan-15,Dec-21,Dec-21,19-Sep-14,,11-Jan-21,"Vanderbilt University, Nashville, Tennessee, United States",,https://ClinicalTrials.gov/show/NCT02245230
NCT02034422,Understanding the Exercise-Hypertension Paradox,,Recruiting,No Results Available,Hypertension,Dietary Supplement: Oral Antioxidant|Other: Exercise rehabilitation,Blood Pressure,VA Office of Research and Development,All,40 Years to 60 Years   (Adult),Not Applicable,72,U.S. Fed,Interventional,Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Single (Participant)|Primary Purpose: Basic Science,O1215-W|1IK2RX001215,1-Feb-14,31-Dec-21,31-Dec-21,13-Jan-14,,14-Jan-21,"VA Salt Lake City Health Care System, Salt Lake City, UT, Salt Lake City, Utah, United States",,https://ClinicalTrials.gov/show/NCT02034422
NCT03044314,Outpatient Vasodilator Assessment Using Iloprost in Pulmonary Hypertension,OVATION,Recruiting,No Results Available,Pulmonary Hypertension,Drug: Illoprost and nitric oxide administration,Change in invasively measured pulmonary artery pressures after challenge with NO and iloprost|Change in echocardiographic and invasively measured parameters after vasodilator challenge|Change in PA pressure and mean pressure determined invasively after vasodilator challenge|Clinical response to vasodilator challenge by echo|Association of change in pressures after vasodilator challenge with clinical outcomes,Duke University|Actelion,All,"18 Years and older   (Adult, Older Adult)",Phase 4,50,Other|Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic,Pro00075840,21-Jul-17,1-Dec-20,1-Dec-20,7-Feb-17,,20-Feb-20,"Duke University Health System, Durham, North Carolina, United States",,https://ClinicalTrials.gov/show/NCT03044314
NCT04349124,Persistent Postpartum Hypertension Pilot Trial,,Recruiting,No Results Available,Hypertension in Pregnancy,Drug: Nifedipine Extended-Release Tablets|Other: No Antihypertensive Medication,Number of Women with Systolic Blood Pressure of less than 140|Number of participants enrolled as measured by randomization to arm|Number of participants who completed the study as measured by completion logs|Average diastolic blood pressure|Average Systolic and Diastolic Blood Pressure|Change in Percentage of Patients with Blood Pressure Less Than 130/80,Duke University,Female,18 Years to 60 Years   (Adult),Phase 4,100,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,Pro00104425,25-Aug-20,30-Sep-21,30-Oct-21,16-Apr-20,,30-Sep-20,"Duke University, Durham, North Carolina, United States",,https://ClinicalTrials.gov/show/NCT04349124
NCT03640312,Efficacy and Safety of a Quadruple Ultra-low-dose Treatment for Hypertension,QUARTET USA,Recruiting,No Results Available,Hypertension,Drug: QUARTET LDQT|Drug: Candesartan,Change in Mean Systolic Blood Pressure|Mean Systolic Blood Pressure|Mean 24-Hour Blood Pressure|Mean Daytime Blood Pressure|Mean Nighttime Blood Pressure|Proportion of dippers|Change in Mean Diastolic Blood Pressure|Mean Diastolic Blood Pressure|Proportion of patients with hypertension control|Proportion of patients requiring step up treatment|Proportion of patients with adverse event free hypertension control|Medication Adherence|Health-related quality of life,Northwestern University|ACCESS Community Health Network|University of Sydney,All,"18 Years and older   (Adult, Older Adult)",Phase 2,364,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",STU00205834,30-Aug-19,31-Mar-23,30-Jun-23,21-Aug-18,,15-Jan-21,"ACCESS Martin T. Russo Family Health Center, Bloomingdale, Illinois, United States|Ashland Family Health Center, Chicago, Illinois, United States","""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/12/NCT03640312/ICF_000.pdf",https://ClinicalTrials.gov/show/NCT03640312
NCT04592783,"Postpartum Hypertension, Tight vs Liberal Control Trial",,Recruiting,No Results Available,Hypertension in the Obstetric Context,Drug: Antihypertensive Agents,"A composite of the following: Development of severe HTN or preeclampsia with severe features, hospitalization > 4 days, use of a second antihypertensive agent, adverse maternal outcomes and emergent treatment of severe HTN.|Hospital readmission secondary to HTN or preeclampsia in the first 14 days postpartum|Persistence of hypertension (CHTN) at/beyond 14 days postpartum|Medication side effects (hypotension|Time to blood pressure control between different antihypertensive therapies",University Hospitals Cleveland Medical Center|MetroHealth Medical Center,Female,18 Years to 55 Years   (Adult),Not Applicable,256,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,20200183,23-Sep-20,30-Sep-21,30-Jun-22,19-Oct-20,,19-Oct-20,"University Hospitals Cleveland Medical Center, Cleveland, Ohio, United States|Metrohealth Medical Center, Cleveland, Ohio, United States",,https://ClinicalTrials.gov/show/NCT04592783
NCT03461003,N-of-1 Trials In Children With Hypertension,NICHE,Recruiting,No Results Available,Pediatric Hypertension,Other: NICHE method|Other: Usual care|Drug: Amlodipine|Drug: Lisinopril|Drug: Hydrochlorothiazide|Drug: Losartan,Ambulatory blood pressure (BP) control|Ambulatory BP reduction from baseline|Side effect experience|Cost-effectiveness,"The University of Texas Health Science Center, Houston",All,"10 Years to 22 Years   (Child, Adult)",Phase 4,80,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment,HSC-MS-17-1014,2-Apr-18,May-24,May-24,9-Mar-18,,14-Oct-20,"The University of Texas Health Science Center at Houston, Houston, Texas, United States",,https://ClinicalTrials.gov/show/NCT03461003
NCT03436550,Assessment of Portal Hypertension With Multiparametric MRI,,Recruiting,No Results Available,Portal Hypertension|Clinically Significant Portal Hypertension,Procedure: mpMRI|Procedure: ARFI US,Rate of diagnosis of portal hypertension (PH)|Rate of diagnosis of clinically significant portal hypertension (CSPH)|Rate of prediction of hepatic decompensation|Degree of ascites and TIPS patency,Icahn School of Medicine at Mount Sinai|National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),All,"18 Years and older   (Adult, Older Adult)",,186,Other|NIH,Observational,Observational Model: Cohort|Time Perspective: Prospective,GCO 16-1307|1R01DK113272-01A1,20-Mar-18,30-Nov-21,30-Nov-21,19-Feb-18,,30-Sep-20,"Mount Sinai Medical Center, New York, New York, United States",,https://ClinicalTrials.gov/show/NCT03436550
NCT03897777,"Exercise, Hypertension, and Gut Dysbiosis in African Americans",,Recruiting,No Results Available,Hypertension,Behavioral: Exercise Training effect on Hypertension and Gut Dysbiosis,Blood Pressure|Gut Dysbiosis,North Carolina Agriculture & Technical State University,All,30 Years to 50 Years   (Adult),Not Applicable,36,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science,NCarolinaATSU,1-Jun-19,Jun-21,Jun-21,1-Apr-19,,20-Apr-20,"North Carolina A&T State University, Greensboro, North Carolina, United States","""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/77/NCT03897777/ICF_001.pdf",https://ClinicalTrials.gov/show/NCT03897777
NCT01712620,Spironolactone for Pulmonary Arterial Hypertension,,Recruiting,No Results Available,Pulmonary Arterial Hypertension,Drug: Spironolactone|Drug: Placebo,"Change in placebo corrected 6-minute walk distance|Change in placebo corrected VO2 max|Change in right ventricular function|Biomarkers of vascular inflammation|Rate of study drug discontinuation due to hyperkalemia, renal insufficiency, or other side effects such as breast pain and gynecomastia","National Institutes of Health Clinical Center (CC)|National Heart, Lung, and Blood Institute (NHLBI)|National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)|University of Pennsylvania|University of Maryland, College Park|Medstar Health Research Institute|New England Medical Center, Tufts University School of Medicine",All,"18 Years and older   (Adult, Older Adult)",Phase 2,70,NIH|Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",120211|12-CC-0211,10-Jan-14,1-Oct-21,1-Oct-21,23-Oct-12,,11-Jan-21,"National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States",,https://ClinicalTrials.gov/show/NCT01712620
NCT03480217,Implementing Hypertension Screening Guidelines in Primary Care,,Recruiting,No Results Available,"Hypertension,Essential|White Coat Hypertension",Behavioral: Multifaceted Implementation Strategy,Change in proportion of eligible patients who completed out-of-office BP testing post-implementation|Change in proportion of eligible patients who completed out-of-office BP testing during maintenance period|Change in proportion of scheduled clinic visits with appropriate out-of-office BP test ordering post-implementation|Change in proportion of scheduled clinic visits with appropriate out-of-office BP test ordering during maintenance period|Change in proportion of patients with newly diagnosed white-coat hypertension post-implementation|Change in proportion of patients with newly diagnosed white-coat hypertension during maintenance period,Columbia University|Agency for Healthcare Research and Quality (AHRQ),All,"21 Years and older   (Adult, Older Adult)",Not Applicable,2000,Other|U.S. Fed,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Health Services Research,AAAQ1062|1R01HS024262-01,2-Apr-18,2-Apr-19,Apr-21,29-Mar-18,,27-May-20,"Center for Behavioral Cardiovascular Health, New York, New York, United States",,https://ClinicalTrials.gov/show/NCT03480217
NCT04576988,A Study of Sotatercept for the Treatment of Pulmonary Arterial Hypertension (STELLAR),,Recruiting,No Results Available,Pulmonary Arterial Hypertension,Drug: Sotatercept|Drug: Placebo,"Change from baseline in 6MWD.|The proportion of participants achieving the multicomponent improvement endpoint, consisting of all of the following:|Change from baseline in pulmonary vascular resistance (PVR).|Change from baseline in NT-proBNP levels.|Time to death or the first occurrence of any of the following clinical worsening events (TTCW):|Proportion of participants who maintain or achieve a low risk score using the simplified French Risk score calculator.|Change from baseline in EuroQol 5 dimension 5 level (EQ-5D-5L) index score.|Change from baseline in Pulmonary Arterial Hypertension - Symptoms and Impact (PAH-SYMPACT®).","Acceleron Pharma, Inc.",All,"18 Years and older   (Adult, Older Adult)",Phase 3,284,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",A011-11,Dec-20,Dec-22,Dec-22,6-Oct-20,,23-Dec-20,"University of Kansas Medical Center, Kansas City, Kansas, United States|The Linder Center for Research and Education at The Christ Hospital, Cincinnati, Ohio, United States",,https://ClinicalTrials.gov/show/NCT04576988
NCT03783169,SASH Study - Sonographic Assessment for Severe Hypertension in Pregnancy,SASH,Recruiting,No Results Available,Hypertension in Pregnancy,Other: Cardiovascular Sonographic Assessment,Systolic Blood Pressure,TriHealth Inc.,Female,"18 Years and older   (Adult, Older Adult)",,120,Other,Observational,Observational Model: Case-Control|Time Perspective: Prospective,18-027,11-Dec-18,Dec-20,Dec-20,20-Dec-18,,9-Jan-20,"TriHealth - Good Samaritan and Bethesda North Hospitals, Cincinnati, Ohio, United States",,https://ClinicalTrials.gov/show/NCT03783169
NCT03648385,Effects of DHEA in Pulmonary Hypertension,EDIPHY,Recruiting,No Results Available,Pulmonary Arterial Hypertension,Drug: DHEA tablet|Other: Placebo,Right ventricular (RV) longitudinal strain|RV ejection fraction|NT-proBNP|Sex hormone levels|Six minute walk distance (6MWD)|World Health Organization (WHO) Functional Class|Short Form-36|emPHasis-10|Treatment-related side effects and adverse events,Rhode Island Hospital,All,"18 Years and older   (Adult, Older Adult)",Phase 2,24,Other,Interventional,"Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",R01HL141268,9-Jan-19,Apr-23,Apr-23,27-Aug-18,,19-Oct-20,"Rhode Island Hospital Pulmonary Hypertension Center, Providence, Rhode Island, United States","""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/85/NCT03648385/ICF_000.pdf",https://ClinicalTrials.gov/show/NCT03648385
NCT03270332,Effect of Inhaled Albuterol in Pulmonary Hypertension,,Recruiting,No Results Available,Pulmonary Hypertension,Drug: albuterol first then placebo|Drug: placebo first then albuterol,Mean Pulmonary Artery Pressure|Pulmonary Vascular Resistance,University of Miami,All,"18 Years and older   (Adult, Older Adult)",Early Phase 1,6,Other,Interventional,"Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",20170552,12-Oct-17,31-Mar-21,30-Jun-21,1-Sep-17,,15-May-20,"Pulmonary Human Research Laboratory, University of Miami, Miller School of Medicine, Miami, Florida, United States",,https://ClinicalTrials.gov/show/NCT03270332
NCT03145298,ALlogeneic Cardiosphere-derived Stem Cells (CDCs) for Pulmonary Hypertension therApy,ALPHA,Recruiting,No Results Available,Pulmonary Arterial Hypertension (PAH),Biological: Allogeneic Human Cardiosphere-Derived Stem Cells|Biological: Placebo,Primary Safety (Early) endpoints including the determination of Gas Exchange and Hemodynamics; Detection of Arrhythmias; Sudden unexpected death and Mortality and Morbidity|Secondary Safety (Long Term) endpoints including ongoing monitoring of events listed for primary safety endpoints as well as long term monitoring for a composite of time to clinical worsening.|Exploratory Secondary Efficacy Endpoints measuring right ventricular function and pressure estimates,Cedars-Sinai Medical Center|California Institute for Regenerative Medicine (CIRM),All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 1,26,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",IND 16686,1-Oct-17,1-Jan-21,31-Dec-21,9-May-17,,15-Jul-20,"Cedars-Sinai Medical Center, Los Angeles, California, United States",,https://ClinicalTrials.gov/show/NCT03145298
NCT04254289,Pilot Randomized Trial of Ambulatory Exercise in Pulmonary Hypertension,PaRTAkE-PH,Not yet recruiting,No Results Available,Pulmonary Arterial Hypertension,Behavioral: Usual Care|Behavioral: Home-based exercise program,"Efficacy of a home-based exercise training as measured by change in six-minute walk distance|Change in physical activity as measured by daily activity captured using the pedometer step count|Efficacy of a home-based exercise training as measured by change in treadmill exercise time|Efficacy of a home-based exercise training as measured by change in survey score from the EuroQol five dimension, five level (EQ-5D-5L) questionnaire.|Efficacy of a home-based exercise training as measured by change in survey score The Pulmonary Arterial Hypertension-Symptoms and Impact (PAH-SYMPACT)|Efficacy of a home-based exercise training as measured by change in survey score International Physical Activity Questionnaire Short Form (IPAQ-SF)|Efficacy of a home-based exercise training as measured by change in survey score Patient Health Questionnaire (PHQ)-8|Efficacy of a home-based exercise training as measured by change in World Health Organization (WHO) functional class",University of Michigan|Actelion,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,54,Other|Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Care Provider, Outcomes Assessor)|Primary Purpose: Supportive Care",HUM00150343,Feb-21,Sep-22,Jun-23,5-Feb-20,,8-Dec-20,"The University of Michigan, Ann Arbor, Michigan, United States",,https://ClinicalTrials.gov/show/NCT04254289
NCT04039464,Mono vs. Dual Therapy for Pediatric Pulmonary Arterial Hypertension,MoD,Not yet recruiting,No Results Available,Pediatric Pulmonary Hypertension,Drug: Mono-Therapy with Sildenafil|Drug: Duo-Therapy with Sildenafil + Bosentan,Change in WHO functional class (FC) of Mono vs. Dual Therapy|Time to clinical worsening (TTCW),Johns Hopkins University,All,"4 Months to 18 Years   (Child, Adult)",Phase 3,100,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Treatment",Kids Mono vs. Duo Therapy PAH,1-Apr-21,31-Mar-26,31-Mar-26,31-Jul-19,,15-Jul-20,"Johns Hopkins University, Baltimore, Maryland, United States",,https://ClinicalTrials.gov/show/NCT04039464
